primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,False,False,132,1.0,3.0,33.0,2023,41.857924979,-87.620511541,9,4,6,3,0,0,Morning,True,False,Residential_Areas,1.3,13.8,4.9,7.4,21.8,59077,7.0,28795.0,16176.97,0.0068592493579805,0.001255581684374,0.0095089178848309,0.0226320534763851,0.012061999277936,non-violent_crime
ASSAULT,SIMPLE,False,True,621,6.0,17.0,71.0,2018,41.755221806,-87.647798612,6,4,12,1,0,0,Early Morning,True,False,Residential_Areas,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0047180279344265,0.0065645339695166,0.0023526356566953,0.0010791166751435,0.0066153644412979,violent_crime
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,False,False,1522,15.0,37.0,25.0,2024,41.880298781,-87.760742929,0,0,4,2,0,0,Early Morning,True,False,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0074600690672808,0.0053102276702498,0.002533231027754,0.0018982094454449,0.0102241967042283,violent_crime
BATTERY,SIMPLE,True,False,1831,18.0,42.0,8.0,2023,41.890051565,-87.62891376,1,0,11,4,0,0,Early Morning,True,False,Outdoor_And_Public_Spaces,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0195562051362633,0.009519109055898,0.0099870072776828,0.0107065830772512,0.0092676488849688,violent_crime
ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,True,True,732,7.0,6.0,68.0,2018,41.764748911,-87.644401916,4,1,10,4,0,0,Early Morning,True,False,Transportation_And_Vehicles,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0126132575485109,0.0051953309151584,0.0031351557308455,0.002348084899843,0.0121736475496039,violent_crime
BURGLARY,UNLAWFUL ENTRY,False,False,831,8.0,17.0,66.0,2022,41.774679233,-87.692057221,21,6,5,2,1,0,Night,False,True,Residential_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0173499355463028,0.0030592731845753,0.0050692714889642,0.0001820226664156,0.0134606924656443,non-violent_crime
THEFT,OVER $500,False,False,1634,16.0,30.0,15.0,2023,41.951469949,-87.755705998,17,2,7,3,0,0,Evening,True,False,Outdoor_And_Public_Spaces,4.1,11.6,12.6,19.3,34.0,24336,35.0,63020.0,15954.43,0.0249182863483057,0.0054484084713423,0.0030534895194582,0.0203101688784458,0.0126762886667208,non-violent_crime
CRIMINAL TRESPASS,TO LAND,False,False,1923,19.0,46.0,6.0,2023,41.954507152,-87.653372774,10,1,10,4,0,0,Morning,False,True,Commercial_Areas,1.1,11.4,4.7,2.6,17.0,60058,5.0,103050.0,33028.85,0.0073462559601073,0.0033884370070531,0.0029217023936151,0.0312123885476496,0.00391486838553,non-violent_crime
THEFT,OVER $500,True,True,333,3.0,5.0,43.0,2023,41.765676702,-87.568940263,23,6,5,2,1,0,Night,False,True,Transportation_And_Vehicles,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0368153228486886,0.0045425598549904,0.0048855115553983,0.0052231790084703,0.0059554372653806,non-violent_crime
ASSAULT,AGGRAVATED - HANDGUN,False,True,215,2.0,3.0,38.0,2023,41.810232303,-87.624484882,2,0,8,3,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0103839334637762,0.0032226346981297,0.0028595180586122,0.0020401837549427,0.0034002692102738,violent_crime
